name, alias, kingdom, family, native, url
Okra, Lady's finger, Plantae, Malvaceae, East Africa, https://en.wikipedia.org/wiki/Okra
Guar, Cluster bean, Plantae, Fabaceae, South Asia, https://en.wikipedia.org/wiki/Guar

